Player Name,Team,Salary,Age,Role,Matches,Runs,Average,Strike-Rate,Wickets,BA,Economy,BSR,Team Final Position
Rilee Roussow,Delhi Capitals,460,34,Batter,9,209,29.86,148.23,0,0,0,0,9th
Rovman Powell,Delhi Capitals,280,30,All rounder,3,7,2,78,1,18,9,12,9th
Chetan Sakariya,Delhi Capitals,420,26,Bowler,2,4,4,100,3,30,11,16,9th
Manish Pandey,Delhi Capitals,240,34,Batter,10,160,18,110,0,0,0,0,9th
Kuldeep Yadav,Delhi Capitals,200,28,Bowler,14,31,15.5,64.5,10,36,7,30,9th
Ishant Sharma,Delhi Capitals,50,35,Bowler,8,0,0,0,10,20.6,8,15,9th
Lungi Ngidi,Delhi Capitals,50,27,Bowler,3,0,0,0,5,25,7,15,9th
Shimron Hetmyer,Rajasthan Royals,850,26,Batter,14,300,37,152,0,0,0,0,5th
Trent Boult,Rajasthan Royals,800,34,Bowler,10,16,10,100,13,24,8,18,5th
Devdutt Padikkal,Rajasthan Royals,775,23,Batter,11,261,26,130,0,0,0,0,5th
Yuzvendra Chahal,Rajasthan Royals,650,33,Bowler,14,0,0,0,21,20,8,15,5th
Jason Holder,Rajasthan Royals,575,31,All rounder,8,12,6,110,4,71,10,19,5th
Ravichandran Ashwin,Rajasthan Royals,500,36,Bowler,13,67,11,131,14,26,7,21,5th
Yashasvi Jaiswal,Rajasthan Royals,475,22,Batter,14,625,48,164,0,0,0,0,5th
Riyan Parag,Rajasthan Royals,380,22,All rounder,7,78,13,118,0,0,0,0,5th
Navdeep Saini,Rajasthan Royals,260,31,Bowler,2,0,0,0,3,24,12,12,5th
Adam Zampa,Rajasthan Royals,150,32,Bowler,6,0,0,0,8,23,8,16,5th
Joe Root,Rajasthan Royals,100,33,Batter,3,10,10,66.77,0,0,0,0,5th
Obed McCoy,Rajasthan Royals,75,27,Bowler,1,0,0,0,0,0,13,0,5th
Dhruv Jurel,Rajasthan Royals,20,23,Batter,13,152,28,154,0,0,0,0,5th
Murugan Ashwin,Rajasthan Royals,20,33,Bowler,2,0,0,0,0,0,13.25,0,5th
Tim David,Mumbai Indians,825,27,Batter,16,231,26,158,0,0,0,0,3rd
Suryakumar Yadav,Mumbai Indians,800,33,Batter,16,605,43,181,0,0,0,0,3rd
Dewald Brewis,Mumbai Indians,325,22,Batter,7,161,23,150,1,8,16,3,3rd
Jofra Archer,Mumbai Indians,800,29,Bowler,5,0,0,0,2,95,9.5,60,3rd
Tilak Varma,Mumbai Indians,170,21,Batter,11,343,43,164,0,0,0,0,3rd
Jhye Richardson,Mumbai Indians,150,27,Bowler,3,0,0,0,3,39,11,22,3rd
Jason Behrendorff,Mumbai Indians,75,32,Bowler,12,0,0,0,14,27,9,18,3rd
Piyush Chawla,Mumbai Indians,50,36,Bowler,16,25,13,113,22,22.5,8,17,3rd
Arjun Tendulkar,Mumbai Indians,30,25,Bowler,4,13,13,145,3,30,9,20,3rd
Ramandeep Singh,Mumbai Indians,20,26,Batter,5,45,23,113,6,9,9,6,3rd
Nehal Wadhera,Mumbai Indians,20,23,Batter,14,241,27,145,0,0,0,0,3rd
Kumar Karthikeya,Mumbai Indians,20,26,Bowler,8,0,0,0,5,45.4,8.7,31,3rd
Hrithik Shokeen,Mumbai Indians,20,23,Bowler,8,0,0,0,3,62,10,38,3rd
Duan Jansen,Mumbai Indians,20,23,Bowler,1,0,0,0,1,53,13,24,3rd
Tristin Stubbs,Mumbai Indians,20,23,Batter,2,25,12,80,1,14,7,6,3rd
Washington Sundar,Sunrisers Hyderabad,875,23,All rounder,7,60,15,100,3,49,8,37,10th
Rahul Tripathi,Sunrisers Hyderabad,850,33,Batter,13,272,23,129,0,0,0,0,10th
